reg_x,reg_y,smem_x,smem_y,redu_step,K,active_blocks
1,1,1,128,16,16,11
1,1,2,64,16,16,16
1,1,4,32,16,16,16
1,1,8,16,16,16,16
1,1,16,8,16,16,16
1,1,32,4,16,16,16
1,1,64,2,16,16,16
1,1,128,1,16,16,11
1,1,1,256,16,16,5
1,1,2,128,16,16,8
1,1,4,64,16,16,8
1,1,8,32,16,16,8
1,1,16,16,16,16,8
1,1,32,8,16,16,8
1,1,64,4,16,16,8
1,1,128,2,16,16,8
1,1,256,1,16,16,5
1,1,1,512,16,16,2
1,1,2,256,16,16,4
1,1,4,128,16,16,4
1,1,8,64,16,16,4
1,1,16,32,16,16,4
1,1,32,16,16,16,4
1,1,64,8,16,16,4
1,1,128,4,16,16,4
1,1,256,2,16,16,4
1,1,512,1,16,16,2
1,1,2,512,16,16,2
1,1,4,256,16,16,2
1,1,8,128,16,16,2
1,1,16,64,16,16,2
1,1,32,32,16,16,2
1,1,64,16,16,16,2
1,1,128,8,16,16,2
1,1,256,4,16,16,2
1,1,512,2,16,16,2
1,1,4,512,16,16,0
1,1,8,256,16,16,0
1,1,16,128,16,16,0
1,1,32,64,16,16,0
1,1,64,32,16,16,0
1,1,128,16,16,16,0
1,1,256,8,16,16,0
1,1,512,4,16,16,0
1,1,1,32,32,32,22
1,1,2,16,32,32,32
1,1,4,8,32,32,32
1,1,8,4,32,32,32
1,1,16,2,32,32,32
1,1,32,1,32,32,22
1,1,1,64,32,32,11
1,1,2,32,32,32,22
1,1,4,16,32,32,32
1,1,8,8,32,32,32
1,1,16,4,32,32,32
1,1,32,2,32,32,22
1,1,64,1,32,32,11
1,1,1,128,32,32,5
1,1,2,64,32,32,11
1,1,4,32,32,32,16
1,1,8,16,32,32,16
1,1,16,8,32,32,16
1,1,32,4,32,32,16
1,1,64,2,32,32,11
1,1,128,1,32,32,5
1,1,1,256,32,32,2
1,1,2,128,32,32,5
1,1,4,64,32,32,8
1,1,8,32,32,32,8
1,1,16,16,32,32,8
1,1,32,8,32,32,8
1,1,64,4,32,32,8
1,1,128,2,32,32,5
1,1,256,1,32,32,2
1,1,2,256,32,32,2
1,1,4,128,32,32,4
1,1,8,64,32,32,4
1,1,16,32,32,32,4
1,1,32,16,32,32,4
1,1,64,8,32,32,4
1,1,128,4,32,32,4
1,1,256,2,32,32,2
1,1,4,256,32,32,2
1,1,8,128,32,32,2
1,1,16,64,32,32,2
1,1,32,32,32,32,2
1,1,64,16,32,32,2
1,1,128,8,32,32,2
1,1,256,4,32,32,2
1,1,8,256,32,32,0
1,1,16,128,32,32,0
1,1,32,64,32,32,0
1,1,64,32,32,32,0
1,1,128,16,32,32,0
1,1,256,8,32,32,0
1,2,1,32,1,1,32
1,2,2,16,1,1,32
1,2,4,8,1,1,32
1,2,8,4,1,1,32
1,2,16,2,1,1,32
1,2,32,1,1,1,32
1,2,1,64,1,1,32
1,2,2,32,1,1,32
1,2,4,16,1,1,32
1,2,8,8,1,1,32
1,2,16,4,1,1,32
1,2,32,2,1,1,32
1,2,64,1,1,1,32
1,2,1,128,1,1,16
1,2,2,64,1,1,16
1,2,4,32,1,1,16
1,2,8,16,1,1,16
1,2,16,8,1,1,16
1,2,32,4,1,1,16
1,2,64,2,1,1,16
1,2,128,1,1,1,16
1,2,1,256,1,1,8
1,2,2,128,1,1,8
1,2,4,64,1,1,8
1,2,8,32,1,1,8
1,2,16,16,1,1,8
1,2,32,8,1,1,8
1,2,64,4,1,1,8
1,2,128,2,1,1,8
1,2,256,1,1,1,8
1,2,1,512,1,1,4
1,2,2,256,1,1,4
1,2,4,128,1,1,4
1,2,8,64,1,1,4
1,2,16,32,1,1,4
1,2,32,16,1,1,4
1,2,64,8,1,1,4
1,2,128,4,1,1,4
1,2,256,2,1,1,4
1,2,512,1,1,1,4
1,2,1,1024,1,1,2
1,2,2,512,1,1,2
1,2,4,256,1,1,2
1,2,8,128,1,1,2
1,2,16,64,1,1,2
1,2,32,32,1,1,2
1,2,64,16,1,1,2
1,2,128,8,1,1,2
1,2,256,4,1,1,2
1,2,512,2,1,1,2
1,2,1024,1,1,1,2
1,2,1,2048,1,1,0
1,2,2,1024,1,1,0
1,2,4,512,1,1,0
1,2,8,256,1,1,0
1,2,16,128,1,1,0
1,2,32,64,1,1,0
1,2,64,32,1,1,0
1,2,128,16,1,1,0
1,2,256,8,1,1,0
1,2,512,4,1,1,0
1,2,1024,2,1,1,0
1,2,2048,1,1,1,0
1,2,1,32,2,2,32
1,2,2,16,2,2,32
1,2,4,8,2,2,32
1,2,8,4,2,2,32
1,2,16,2,2,2,32
1,2,32,1,2,2,32
1,2,1,64,2,2,32
1,2,2,32,2,2,32
1,2,4,16,2,2,32
1,2,8,8,2,2,32
1,2,16,4,2,2,32
1,2,32,2,2,2,32
1,2,64,1,2,2,32
1,2,1,128,2,2,16
1,2,2,64,2,2,16
1,2,4,32,2,2,16
1,2,8,16,2,2,16
1,2,16,8,2,2,16
1,2,32,4,2,2,16
1,2,64,2,2,2,16
1,2,128,1,2,2,16
1,2,1,256,2,2,8
1,2,2,128,2,2,8
1,2,4,64,2,2,8
1,2,8,32,2,2,8
1,2,16,16,2,2,8
1,2,32,8,2,2,8
1,2,64,4,2,2,8
1,2,128,2,2,2,8
1,2,256,1,2,2,8
1,2,1,512,2,2,4
1,2,2,256,2,2,4
1,2,4,128,2,2,4
1,2,8,64,2,2,4
1,2,16,32,2,2,4
1,2,32,16,2,2,4
1,2,64,8,2,2,4
1,2,128,4,2,2,4
1,2,256,2,2,2,4
1,2,512,1,2,2,4
1,2,1,1024,2,2,2
1,2,2,512,2,2,2
1,2,4,256,2,2,2
1,2,8,128,2,2,2
1,2,16,64,2,2,2
1,2,32,32,2,2,2
1,2,64,16,2,2,2
1,2,128,8,2,2,2
1,2,256,4,2,2,2
1,2,512,2,2,2,2
1,2,1024,1,2,2,2
1,2,1,2048,2,2,0
1,2,2,1024,2,2,0
1,2,4,512,2,2,0
1,2,8,256,2,2,0
1,2,16,128,2,2,0
1,2,32,64,2,2,0
1,2,64,32,2,2,0
1,2,128,16,2,2,0
1,2,256,8,2,2,0
1,2,512,4,2,2,0
1,2,1024,2,2,2,0
1,2,2048,1,2,2,0
1,2,1,32,4,4,32
1,2,2,16,4,4,32
1,2,4,8,4,4,32
1,2,8,4,4,4,32
1,2,16,2,4,4,32
1,2,32,1,4,4,32
1,2,1,64,4,4,32
1,2,2,32,4,4,32
1,2,4,16,4,4,32
1,2,8,8,4,4,32
1,2,16,4,4,4,32
1,2,32,2,4,4,32
1,2,64,1,4,4,32
1,2,1,128,4,4,16
1,2,2,64,4,4,16
1,2,4,32,4,4,16
1,2,8,16,4,4,16
1,2,16,8,4,4,16
1,2,32,4,4,4,16
1,2,64,2,4,4,16
1,2,128,1,4,4,16
1,2,1,256,4,4,8
1,2,2,128,4,4,8
1,2,4,64,4,4,8
1,2,8,32,4,4,8
1,2,16,16,4,4,8
1,2,32,8,4,4,8
1,2,64,4,4,4,8
1,2,128,2,4,4,8
1,2,256,1,4,4,8
1,2,1,512,4,4,4
1,2,2,256,4,4,4
1,2,4,128,4,4,4
1,2,8,64,4,4,4
1,2,16,32,4,4,4
1,2,32,16,4,4,4
1,2,64,8,4,4,4
1,2,128,4,4,4,4
1,2,256,2,4,4,4
1,2,512,1,4,4,4
1,2,1,1024,4,4,2
1,2,2,512,4,4,2
1,2,4,256,4,4,2
1,2,8,128,4,4,2
1,2,16,64,4,4,2
1,2,32,32,4,4,2
1,2,64,16,4,4,2
1,2,128,8,4,4,2
1,2,256,4,4,4,2
1,2,512,2,4,4,2
1,2,1024,1,4,4,2
1,2,2,1024,4,4,0
1,2,4,512,4,4,0
1,2,8,256,4,4,0
1,2,16,128,4,4,0
1,2,32,64,4,4,0
1,2,64,32,4,4,0
1,2,128,16,4,4,0
1,2,256,8,4,4,0
1,2,512,4,4,4,0
1,2,1024,2,4,4,0
1,2,2048,1,4,4,0
1,2,1,32,8,8,32
1,2,2,16,8,8,32
1,2,4,8,8,8,32
1,2,8,4,8,8,32
1,2,16,2,8,8,32
1,2,32,1,8,8,32
1,2,1,64,8,8,22
1,2,2,32,8,8,32
1,2,4,16,8,8,32
1,2,8,8,8,8,32
1,2,16,4,8,8,32
1,2,32,2,8,8,32
1,2,64,1,8,8,32
1,2,1,128,8,8,11
1,2,2,64,8,8,16
1,2,4,32,8,8,16
1,2,8,16,8,8,16
1,2,16,8,8,8,16
1,2,32,4,8,8,16
1,2,64,2,8,8,16
1,2,128,1,8,8,16
1,2,1,256,8,8,5
1,2,2,128,8,8,8
1,2,4,64,8,8,8
1,2,8,32,8,8,8
1,2,16,16,8,8,8
1,2,32,8,8,8,8
1,2,64,4,8,8,8
1,2,128,2,8,8,8
1,2,256,1,8,8,8
1,2,1,512,8,8,2
1,2,2,256,8,8,4
1,2,4,128,8,8,4
1,2,8,64,8,8,4
1,2,16,32,8,8,4
1,2,32,16,8,8,4
1,2,64,8,8,8,4
1,2,128,4,8,8,4
1,2,256,2,8,8,4
1,2,512,1,8,8,4
1,2,2,512,8,8,2
1,2,4,256,8,8,2
1,2,8,128,8,8,2
1,2,16,64,8,8,2
1,2,32,32,8,8,2
1,2,64,16,8,8,2
1,2,128,8,8,8,2
1,2,256,4,8,8,2
1,2,512,2,8,8,2
1,2,1024,1,8,8,2
1,2,4,512,8,8,0
1,2,8,256,8,8,0
1,2,16,128,8,8,0
1,2,32,64,8,8,0
1,2,64,32,8,8,0
1,2,128,16,8,8,0
1,2,256,8,8,8,0
1,2,512,4,8,8,0
1,2,1024,2,8,8,0
1,2,1,32,16,16,22
1,2,2,16,16,16,32
1,2,4,8,16,16,32
1,2,8,4,16,16,32
1,2,16,2,16,16,32
1,2,32,1,16,16,32
1,2,1,64,16,16,11
1,2,2,32,16,16,22
1,2,4,16,16,16,32
1,2,8,8,16,16,32
1,2,16,4,16,16,32
1,2,32,2,16,16,32
1,2,64,1,16,16,22
1,2,1,128,16,16,5
1,2,2,64,16,16,11
1,2,4,32,16,16,16
1,2,8,16,16,16,16
1,2,16,8,16,16,16
1,2,32,4,16,16,16
1,2,64,2,16,16,16
1,2,128,1,16,16,11
1,2,1,256,16,16,2
1,2,2,128,16,16,5
1,2,4,64,16,16,8
1,2,8,32,16,16,8
1,2,16,16,16,16,8
1,2,32,8,16,16,8
1,2,64,4,16,16,8
1,2,128,2,16,16,8
1,2,256,1,16,16,5
1,2,2,256,16,16,2
1,2,4,128,16,16,4
1,2,8,64,16,16,4
1,2,16,32,16,16,4
1,2,32,16,16,16,4
1,2,64,8,16,16,4
1,2,128,4,16,16,4
1,2,256,2,16,16,4
1,2,512,1,16,16,2
1,2,4,256,16,16,2
1,2,8,128,16,16,2
1,2,16,64,16,16,2
1,2,32,32,16,16,2
1,2,64,16,16,16,2
1,2,128,8,16,16,2
1,2,256,4,16,16,2
1,2,512,2,16,16,2
1,2,8,256,16,16,0
1,2,16,128,16,16,0
1,2,32,64,16,16,0
1,2,64,32,16,16,0
1,2,128,16,16,16,0
1,2,256,8,16,16,0
1,2,512,4,16,16,0
1,2,1,32,32,32,11
1,2,2,16,32,32,22
1,2,4,8,32,32,32
1,2,8,4,32,32,32
1,2,16,2,32,32,32
1,2,32,1,32,32,22
1,2,1,64,32,32,5
1,2,2,32,32,32,11
1,2,4,16,32,32,21
1,2,8,8,32,32,32
1,2,16,4,32,32,32
1,2,32,2,32,32,21
1,2,64,1,32,32,11
1,2,1,128,32,32,2
1,2,2,64,32,32,5
1,2,4,32,32,32,11
1,2,8,16,32,32,16
1,2,16,8,32,32,16
1,2,32,4,32,32,16
1,2,64,2,32,32,11
1,2,128,1,32,32,5
1,2,2,128,32,32,2
1,2,4,64,32,32,5
1,2,8,32,32,32,8
1,2,16,16,32,32,8
1,2,32,8,32,32,8
1,2,64,4,32,32,8
1,2,128,2,32,32,5
1,2,256,1,32,32,2
1,2,4,128,32,32,2
1,2,8,64,32,32,4
1,2,16,32,32,32,4
1,2,32,16,32,32,4
1,2,64,8,32,32,4
1,2,128,4,32,32,4
1,2,256,2,32,32,2
1,2,8,128,32,32,2
1,2,16,64,32,32,2
1,2,32,32,32,32,2
1,2,64,16,32,32,2
1,2,128,8,32,32,2
1,2,256,4,32,32,2
1,2,16,128,32,32,0
1,2,32,64,32,32,0
1,2,64,32,32,32,0
1,2,128,16,32,32,0
1,2,256,8,32,32,0
1,4,1,32,1,1,32
1,4,2,16,1,1,32
1,4,4,8,1,1,32
1,4,8,4,1,1,32
1,4,16,2,1,1,32
1,4,32,1,1,1,32
1,4,1,64,1,1,32
1,4,2,32,1,1,32
1,4,4,16,1,1,32
1,4,8,8,1,1,32
1,4,16,4,1,1,32
1,4,32,2,1,1,32
1,4,64,1,1,1,32
1,4,1,128,1,1,16
1,4,2,64,1,1,16
1,4,4,32,1,1,16
1,4,8,16,1,1,16
1,4,16,8,1,1,16
1,4,32,4,1,1,16
1,4,64,2,1,1,16
1,4,128,1,1,1,16
1,4,1,256,1,1,8
1,4,2,128,1,1,8
1,4,4,64,1,1,8
1,4,8,32,1,1,8
1,4,16,16,1,1,8
1,4,32,8,1,1,8
1,4,64,4,1,1,8
1,4,128,2,1,1,8
1,4,256,1,1,1,8
1,4,1,512,1,1,4
1,4,2,256,1,1,4
1,4,4,128,1,1,4
1,4,8,64,1,1,4
1,4,16,32,1,1,4
1,4,32,16,1,1,4
1,4,64,8,1,1,4
1,4,128,4,1,1,4
1,4,256,2,1,1,4
1,4,512,1,1,1,4
1,4,1,1024,1,1,2
1,4,2,512,1,1,2
1,4,4,256,1,1,2
1,4,8,128,1,1,2
1,4,16,64,1,1,2
1,4,32,32,1,1,2
1,4,64,16,1,1,2
1,4,128,8,1,1,2
1,4,256,4,1,1,2
1,4,512,2,1,1,2
1,4,1024,1,1,1,2
1,4,1,2048,1,1,0
1,4,2,1024,1,1,0
1,4,4,512,1,1,0
1,4,8,256,1,1,0
1,4,16,128,1,1,0
1,4,32,64,1,1,0
1,4,64,32,1,1,0
1,4,128,16,1,1,0
1,4,256,8,1,1,0
1,4,512,4,1,1,0
1,4,1024,2,1,1,0
1,4,2048,1,1,1,0
1,4,1,32,2,2,32
1,4,2,16,2,2,32
1,4,4,8,2,2,32
1,4,8,4,2,2,32
1,4,16,2,2,2,32
1,4,32,1,2,2,32
1,4,1,64,2,2,32
1,4,2,32,2,2,32
1,4,4,16,2,2,32
1,4,8,8,2,2,32
1,4,16,4,2,2,32
1,4,32,2,2,2,32
1,4,64,1,2,2,32
1,4,1,128,2,2,16
1,4,2,64,2,2,16
1,4,4,32,2,2,16
1,4,8,16,2,2,16
1,4,16,8,2,2,16
1,4,32,4,2,2,16
1,4,64,2,2,2,16
1,4,128,1,2,2,16
1,4,1,256,2,2,8
1,4,2,128,2,2,8
1,4,4,64,2,2,8
1,4,8,32,2,2,8
1,4,16,16,2,2,8
1,4,32,8,2,2,8
1,4,64,4,2,2,8
1,4,128,2,2,2,8
1,4,256,1,2,2,8
1,4,1,512,2,2,4
1,4,2,256,2,2,4
1,4,4,128,2,2,4
1,4,8,64,2,2,4
1,4,16,32,2,2,4
1,4,32,16,2,2,4
1,4,64,8,2,2,4
1,4,128,4,2,2,4
1,4,256,2,2,2,4
1,4,512,1,2,2,4
1,4,1,1024,2,2,2
1,4,2,512,2,2,2
1,4,4,256,2,2,2
1,4,8,128,2,2,2
1,4,16,64,2,2,2
1,4,32,32,2,2,2
1,4,64,16,2,2,2
1,4,128,8,2,2,2
1,4,256,4,2,2,2
1,4,512,2,2,2,2
1,4,1024,1,2,2,2
1,4,2,1024,2,2,0
1,4,4,512,2,2,0
1,4,8,256,2,2,0
1,4,16,128,2,2,0
1,4,32,64,2,2,0
1,4,64,32,2,2,0
1,4,128,16,2,2,0
1,4,256,8,2,2,0
1,4,512,4,2,2,0
1,4,1024,2,2,2,0
1,4,2048,1,2,2,0
1,4,1,32,4,4,32
1,4,2,16,4,4,32
1,4,4,8,4,4,32
1,4,8,4,4,4,32
1,4,16,2,4,4,32
1,4,32,1,4,4,32
1,4,1,64,4,4,22
1,4,2,32,4,4,32
1,4,4,16,4,4,32
1,4,8,8,4,4,32
1,4,16,4,4,4,32
1,4,32,2,4,4,32
1,4,64,1,4,4,32
1,4,1,128,4,4,11
1,4,2,64,4,4,16
1,4,4,32,4,4,16
1,4,8,16,4,4,16
1,4,16,8,4,4,16
1,4,32,4,4,4,16
1,4,64,2,4,4,16
1,4,128,1,4,4,16
1,4,1,256,4,4,5
1,4,2,128,4,4,8
1,4,4,64,4,4,8
1,4,8,32,4,4,8
1,4,16,16,4,4,8
1,4,32,8,4,4,8
1,4,64,4,4,4,8
1,4,128,2,4,4,8
1,4,256,1,4,4,8
1,4,1,512,4,4,2
1,4,2,256,4,4,4
1,4,4,128,4,4,4
1,4,8,64,4,4,4
1,4,16,32,4,4,4
1,4,32,16,4,4,4
1,4,64,8,4,4,4
1,4,128,4,4,4,4
1,4,256,2,4,4,4
1,4,512,1,4,4,4
1,4,2,512,4,4,2
1,4,4,256,4,4,2
1,4,8,128,4,4,2
1,4,16,64,4,4,2
1,4,32,32,4,4,2
1,4,64,16,4,4,2
1,4,128,8,4,4,2
1,4,256,4,4,4,2
1,4,512,2,4,4,2
1,4,1024,1,4,4,2
1,4,4,512,4,4,0
1,4,8,256,4,4,0
1,4,16,128,4,4,0
1,4,32,64,4,4,0
1,4,64,32,4,4,0
1,4,128,16,4,4,0
1,4,256,8,4,4,0
1,4,512,4,4,4,0
1,4,1024,2,4,4,0
1,4,2048,1,4,4,0
1,4,1,32,8,8,22
1,4,2,16,8,8,32
1,4,4,8,8,8,32
1,4,8,4,8,8,32
1,4,16,2,8,8,32
1,4,32,1,8,8,32
1,4,1,64,8,8,11
1,4,2,32,8,8,22
1,4,4,16,8,8,32
1,4,8,8,8,8,32
1,4,16,4,8,8,32
1,4,32,2,8,8,32
1,4,64,1,8,8,32
1,4,1,128,8,8,5
1,4,2,64,8,8,11
1,4,4,32,8,8,16
1,4,8,16,8,8,16
1,4,16,8,8,8,16
1,4,32,4,8,8,16
1,4,64,2,8,8,16
1,4,128,1,8,8,16
1,4,1,256,8,8,2
1,4,2,128,8,8,5
1,4,4,64,8,8,8
1,4,8,32,8,8,8
1,4,16,16,8,8,8
1,4,32,8,8,8,8
1,4,64,4,8,8,8
1,4,128,2,8,8,8
1,4,256,1,8,8,8
1,4,2,256,8,8,2
1,4,4,128,8,8,4
1,4,8,64,8,8,4
1,4,16,32,8,8,4
1,4,32,16,8,8,4
1,4,64,8,8,8,4
1,4,128,4,8,8,4
1,4,256,2,8,8,4
1,4,512,1,8,8,4
1,4,4,256,8,8,2
1,4,8,128,8,8,2
1,4,16,64,8,8,2
1,4,32,32,8,8,2
1,4,64,16,8,8,2
1,4,128,8,8,8,2
1,4,256,4,8,8,2
1,4,512,2,8,8,2
1,4,1024,1,8,8,2
1,4,8,256,8,8,0
1,4,16,128,8,8,0
1,4,32,64,8,8,0
1,4,64,32,8,8,0
1,4,128,16,8,8,0
1,4,256,8,8,8,0
1,4,512,4,8,8,0
1,4,1024,2,8,8,0
1,4,1,32,16,16,11
1,4,2,16,16,16,22
1,4,4,8,16,16,32
1,4,8,4,16,16,32
1,4,16,2,16,16,32
1,4,32,1,16,16,32
1,4,1,64,16,16,5
1,4,2,32,16,16,11
1,4,4,16,16,16,22
1,4,8,8,16,16,32
1,4,16,4,16,16,32
1,4,32,2,16,16,32
1,4,64,1,16,16,22
1,4,1,128,16,16,2
1,4,2,64,16,16,5
1,4,4,32,16,16,11
1,4,8,16,16,16,16
1,4,16,8,16,16,16
1,4,32,4,16,16,16
1,4,64,2,16,16,16
1,4,128,1,16,16,11
1,4,2,128,16,16,2
1,4,4,64,16,16,5
1,4,8,32,16,16,8
1,4,16,16,16,16,8
1,4,32,8,16,16,8
1,4,64,4,16,16,8
1,4,128,2,16,16,8
1,4,256,1,16,16,5
1,4,4,128,16,16,2
1,4,8,64,16,16,4
1,4,16,32,16,16,4
1,4,32,16,16,16,4
1,4,64,8,16,16,4
1,4,128,4,16,16,4
1,4,256,2,16,16,4
1,4,512,1,16,16,2
1,4,8,128,16,16,2
1,4,16,64,16,16,2
1,4,32,32,16,16,2
1,4,64,16,16,16,2
1,4,128,8,16,16,2
1,4,256,4,16,16,2
1,4,512,2,16,16,2
