TF	22.67602461	22.18170839	49.44901783	6.023852758	10.88768924	64.38022767	1.064176791	0.646261209	37.78337531	20.7541029	26.5319471	56.10945956	58.93510297	85.63454503	59.23411049	25.23259325	47.84715575	65.47252338	8
TRT	10.654342	0.631988	5.599588174	3.818722	1.563935	29.05507447	0.768185	0.706577	47.91125619	4.578719	2.166761	32.12167259	7.079882	2.430438	25.55579623	4.873529	4.510451	48.06543705	8
RB	10.12062549	0.819093506	7.487335884	2.354169679	0.619474321	20.83216152	0.940096138	0.020417862	2.125722478	6.301282494	1.583963506	20.08768662	22.50844614	7.20581586	24.25036119	5.95363725	3.32010875	35.80116115	9
R	4.479677687	0.149439313	3.228246618	1.497435077	0.239838923	13.80547473	0.938376122	0.019663878	2.052511169	4.219517497	0.471842503	10.05769122	4.331208999	0.394604001	8.349970703	2.749821261	0.911451739	24.89439435	8
